primary_category,sub_category_1,sub_category_2
Personal Care,Bath & Body,Body Lotions
Patio & Garden,Outdoor Power Equipment,Outdoor Power Equipment Parts and Accessories
Baby,Baby Activities & Gear,Baby Carriers
Food,Beverages,Energy Drinks
Baby,Toddlers' Room,Toddler Bedding
Baby,Diapering,Diaper Bags
Baby,Feeding,Toddler Feeding
Household Essentials,Pest Control,All Pest Control
Home,Kitchen & Dining,Dining & Entertaining
Baby,Baby Activities & Gear,Baby Gyms & Playmats
Industrial & Scientific,Janitorial & Sanitation Supplies,Janitorial Disposables
Food,Beverages,Tea
Household Essentials,Paper & Plastic,Disposable Tableware
Personal Care,Oral Care,Teeth Whitening
Personal Care,Bath & Body,Body Lotions
Beauty,Makeup,Makeup Tools & Brushes
Household Essentials,Paper & Plastic,Wax and Parchment Paper
Beauty,Makeup,Makeup Tools and Accessories
Household Essentials,Paper & Plastic,Facial Tissue
Household Essentials,Household Essentials by Brand,Clorox
Personal Care,Shaving,Men's Razors and Razor Blades
Home,Kitchen & Dining,Dining & Entertaining
Personal Care,Shaving,Men's Razors and Razor Blades
Household Essentials,Cleaning Supplies,Drain Cleaners
Food,Beverages,Tea
Household Essentials,Laundry,Bleach
Household Essentials,Bathroom Cleaning Supplies,Bathroom Cleaners
Personal Care,Shaving,Razors
Household Essentials,Laundry,Bleach
Personal Care,Oral Care,Electric Toothbrush Heads
Personal Care,Oral Care,Electric Toothbrushes
Party & Occasions,Party Supplies,Party Tableware
Household Essentials,Paper & Plastic,Paper Towels
Personal Care,Bath & Body,Hand Soaps
Household Essentials,Laundry,Stain Removers
Baby,New Baby Products,Unavailable
Pets,Dogs,Dog Treats
Personal Care,Bath & Body,Hand Soaps
Beauty,Here for Every Beauty,Bath & Body
Pets,Dogs,Dog Food
Household Essentials,Paper & Plastic,Disposable Tableware
Personal Care,Bath & Body,Hand Soaps
Patio & Garden,Garden Center,Insect & Pest Control
Personal Care,Shaving,Razors
Personal Care,Bath & Body,Body Wash
Household Essentials,Paper & Plastic,Disposable Tableware
Premium Beauty,Premium Fragrance,Premium Perfume for Women
Baby,Feeding,Lansinoh Bottles
Personal Care,Bath & Body,Body Lotions
Food,Coffee,Bottled Coffee
Personal Care,Oral Care,Denture Adhesive
Household Essentials,Laundry,Dryer Sheets
Household Essentials,Paper & Plastic,Disposable Tableware
Personal Care,Shaving,Electric Shave Replacement Heads
Pets,Dogs,Dog Flea and Tick
Beauty,Seasonal Beauty,Prom-ready Beauty
Household Essentials,Cleaning Supplies,Drain Cleaners
Party & Occasions,Party Supplies,Party Tableware
Household Essentials,Air Fresheners,Air Freshener Refills
Household Essentials,Cleaning Supplies,Drain Cleaners
Baby,Baby Activities & Gear,Boy Walkers
Baby,Health & Safety,Baby Grooming
Beauty,Hair Care,Shampoo
Food,Frozen Foods,Frozen Breakfast Food
Home,Appliances,Kitchen Appliances
Home,Kitchen & Dining,Dining & Entertaining
Beauty,Skin Care,Acne Treatments
Household Essentials,Bathroom Cleaning Supplies,Bathroom Cleaners
Household Essentials,Paper & Plastic,Disposable Tableware
Food,Beverages,Tea
Pets,Dogs,Dog Clothes and Costumes
Household Essentials,Household Essentials by Brand,Glade
Baby,Nursery & Decor,Baby Cribs
Household Essentials,Paper & Plastic,Disposable Tableware
Household Essentials,Laundry,Dryer Sheets
Household Essentials,Paper & Plastic,Disposable Tableware
Personal Care,Incontinence,Adult Wipes
Beauty,Beauty by Top Brands,Revlon
Household Essentials,Pest Control,Insect & Pest Baits
Household Essentials,Air Fresheners,All Air Fresheners
Household Essentials,Paper & Plastic,Disposable Tableware
Beauty,Black Owned Beauty Brands,Black Owned Hair Products
Home,Bedding,Quilts
Baby,Baby Activities & Gear,Baby Walkers
Personal Care,Oral Care,Electric Toothbrush Heads
Premium Beauty,Premium Bath & Body,Premium Body Hair Removal
Patio & Garden,Garden Center,Insect & Pest Control
Baby,Baby Activities & Gear,Playards
Personal Care,Shaving,Razors
Household Essentials,Cleaning Supplies,Drain Cleaners
Beauty,Fragrances,Fragrances by Scent
Household Essentials,Cleaning Supplies,Mops
Household Essentials,Paper & Plastic,Food Storage Bags
Household Essentials,Paper & Plastic,Wax and Parchment Paper
Personal Care,Shaving,Electric Shave Replacement Heads
Personal Care,Oral Care,Oral Pain Relief
Household Essentials,Paper & Plastic,Facial Tissue
Personal Care,Oral Care,Electric Toothbrushes
Sports & Outdoors,Outdoor Sports,Camping Gear
Household Essentials,Pest Control,Insect Sprays & Foggers
Household Essentials,Laundry,Laundry Scent Boosters
Beauty,Bath & Body,"Bath Bombs, Bubble Baths & Soaks"
Household Essentials,Paper & Plastic,Trash Bags
Household Essentials,Laundry,Laundry Detergents
Baby,Nursery & Decor,Crib and Baby Mattresses
Food,Beverages,Juices
Household Essentials,Pest Control,Insect Sprays & Foggers
Household Essentials,Cleaning Supplies,Dishwashing
Baby,Baby Activities & Gear,Baby Carriers
Premium Beauty,Premium Skincare,Premium Sun Care and Sunscreens
Household Essentials,Cleaning Supplies,Dishwashing
Beauty,Skin Care,Acne Treatments
Household Essentials,Air Fresheners,Moisture Absorbers
Household Essentials,Pest Control,Insect & Pest Baits
Personal Care,Oral Care,Teeth Whitening
Home,Kitchen & Dining,Dining & Entertaining
Pets,Dogs,Dog Clothes and Costumes
Household Essentials,Paper & Plastic,Trash Bags
Personal Care,Oral Care,Electric Toothbrushes
Baby,Bath & Potty,Baby Toiletries
Personal Care,Bath & Body,Hand Soaps
Household Essentials,Paper & Plastic,Disposable Tableware
Personal Care,Oral Care,Toothpaste
Household Essentials,Paper & Plastic,Aluminum Foil
Personal Care,Bath & Body,Bath & Shower
Household Essentials,Air Fresheners,All Air Fresheners
Food,Beverages,Water Flavoring
Premium Beauty,Premium Hair Care,Premium Value Sizes & Sets
Personal Care,Shaving,Hair Removal
Baby,Feeding,Toddler Feeding
Household Essentials,Cleaning Supplies,Toilet Bowl Cleaners
Auto & Tires,Auto Detailing & Car Care,Auto Air Fresheners
Personal Care,Shaving,Razors
Household Essentials,Laundry,Laundry Detergents
Baby,Feeding,High Chairs & Booster Seats
Personal Care,Shaving,Electric Shavers
Household Essentials,Pest Control,Insect Sprays & Foggers
Household Essentials,Cleaning Supplies,Cleaning Tools
Household Essentials,Laundry,Fabric Softener
